ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001415889-24-018514	2427355	Class A Common Stock				1229.0				D			
0001250853-24-000009	2699940	Common Stock				8906270.0				I		By Knighted Pastures LLC, of which Roy Choi is the managing member	
0001610717-24-000380	2506713	Common Stock				85000.0				D			
0001415889-24-018512	2432600	Common Stock				935703.0				D			
0001493152-24-025686	2303714	Common Stock				80.0				D			
0001493152-24-025688	2450732	Common Stock				3461.0				D		See footnote	F1
0001493152-24-025688	2450733	Common Stock				69600.0				I			
0000907242-24-000004	2735087	Common Stock				2479641.0				I		In trusts	
0001415889-24-018511	2733069	Common Stock				18840.0				D			
0001415889-24-018509	2478732	Common Stock				6953.0				I		By Trust	F2
0001415889-24-018506	2458962	Common Stock				11991.0				I		By Trust	F2
0001415889-24-018506	2458963	Common Stock				19425.0				I		By Trust	F3
0001127602-24-019428	2424942	Common Stock				115840.0				I		By LLC NE	F4
0001127602-24-019428	2424939	Common Stock				946987.0				I		By HJ Family           Trust	F3
0001127602-24-019428	2424944	Common Stock				115840.0				I		By LLC ZE	F4
0001127602-24-019428	2424945	Common Stock				171324.0				I		By LLC ZN	F4
0001127602-24-019428	2424943	Common Stock				171324.0				I		By LLC NN	F4
0001127602-24-019428	2424940	Common Stock				115840.0				I		By LLC BE	F4
0001127602-24-019428	2424941	Common Stock				171323.0				I		By LLC BN	F4
0001676238-24-000124	2379278	Class A Common Stock				1395750.0				I		By Battery Ventures Select Fund I, L.P.	F5
0001676238-24-000124	2379279	Class A Common Stock				287873.0				I		By Battery Ventures XI-B Side Fund, L.P.	F6
0001676238-24-000124	2379280	Class A Common Stock				1277820.0				I		By Battery Ventures XI-A, L.P.	F7
0001676238-24-000124	2379281	Class A Common Stock				59223.0				I		By Battery Investment Partners XI, LLC	F8
0001676238-24-000124	2379275	Class A Common Stock				1327575.0				I		By Battery Ventures XI-A Side Fund, L.P.	F2
0001676238-24-000124	2379283	Class A Common Stock				927.0	F10			I		By Trust	F11
0001676238-24-000124	2379277	Class A Common Stock				29250.0				I		By Battery Investment Partners Select Fund I, L.P.	F4
0001676238-24-000124	2379276	Class A Common Stock				337628.0				I		By Battery Ventures XI-B, L.P.	F3
0001676238-24-000124	2379282	Class A Common Stock				42977.0				I		By Trust	F9
0001225208-24-007038	2663074	Class A Common Stock				720.0	F7			I		Held by trusts for Sossie K. Najarian's family	F15
0001225208-24-007038	2663075	Class A Common Stock				668.0				I		Held by wife	
0001225208-24-007038	2663073	Class A Common Stock				720.0	F7			I		Held by trusts for Nadia K. Rodriguez's family	F14
0001225208-24-007038	2663067	Class A Common Stock				60514.87	F7			I		Held as trustee of trusts for Esther K. Barry's family	F8
0001225208-24-007038	2663068	Class A Common Stock				51074.87	F7			I		Held as trustee of trusts for Lucy K. Kalian's family	F9
0001225208-24-007038	2663069	Class A Common Stock				63504.87	F7			I		Held as trustee of trusts for Nadia K. Rodriguez's family	F10
0001225208-24-007038	2663070	Class A Common Stock				51474.87	F7			I		Held as trustee of trusts for Sossie K. Najarian's family	F11
0001225208-24-007038	2663071	Class A Common Stock				3563.96	F7			I		Held by trusts for Esther K. Barry's family	F12
0001225208-24-007038	2663072	Class A Common Stock				4132.76	F7			I		Held by trusts for Lucy K. Kalian's family	F13
0000950170-24-079172	2367376	Common Stock				3880328.0				I		By Flagship Ventures Fund IV, L.P.	F11
0000950170-24-079172	2367377	Common Stock				747897.0				I		By Flagship Ventures Fund IV-Rx, L.P.	F12
0000950170-24-079172	2367378	Common Stock				3924.0				I		By Flagship Pioneering, Inc.	F13
0001415889-24-018496	2557837	Common Stock				356989.0				I		By Valence Investments SPV IV, LLC	
0001415889-24-018496	2557839	Common Stock				316109.0				I		By Valence Investments SPV VI, LLC	
0001415889-24-018496	2557838	Common Stock				66228.0				I		By Valence Investments SPV V, LLC	
0001415889-24-018496	2557836	Common Stock				10661.0				I		By IRA Financial Trust Company CFBO Eric W. Roberts	
0001415889-24-018496	2557835	Common Stock				39894.0				I		By Oppenheimer & Co Inc. Custodian FBO Eric W Roberts Roth IRA	
0001415889-24-018496	2557834	Common Stock				111373.0				D			
0001415889-24-018493	2606582	Common Stock				920832.0				I		See footnote	F2
0001415889-24-018489	2398048	Common Stock				178889.0				I		See footnote	F2
0001585521-24-000132	2384158	Class A Common Stock				102540.0				I		See footnote	F3
0001583708-24-000053	2653010	Class A Common Stock				465.0				I		By Trust 2	
0001583708-24-000053	2653009	Class A Common Stock				465.0				I		By Trust 3	
0001583708-24-000053	2653011	Class A Common Stock				465.0				I		By Trust 1	
0001628280-24-030518	2515681	Common Stock				2714.0				I	F2	Through 401(k) Plan	
0001104659-24-076423	2417144	Common Stock				10000.0				D			
0001184754-24-000004	2495222	Class A Common Stock				80000.0				I		By Trust	
0000950170-24-079163	2674757	Common Shares				265573.0				I	F2	By Trust	
0000950170-24-079163	2674758	Common Shares				35140.0				I	F1	By Hayne Foundation	
0000950170-24-079163	2674759	Common Shares				1141738.0				I	F3	By Spouse	
0000950170-24-079163	2674760	Common Shares				11300.0				I	F4	By Spouse through Profit Sharing Fund (401(k) Plan)	
0000950170-24-079163	2674761	Common Shares				5046656.0				I	F6, F5	By Spouse as Trustee	
0000950170-24-079163	2674756	Common Shares				23481.0				I	F1	By Profit Sharing Fund (401(k) Plan)	
0001628280-24-030516	2638042	Class A Common Stock				28150.0				I	F3	By Trust	F4
0001271163-24-000034	2435991	Series E Cumulative Preferred Shares				130000.0				I		GPJ Retirement Partners	F3
0001271163-24-000034	2435990	Series E Cumulative Preferred Shares				200000.0				I		Associated Capital Group, Inc.	F2
0001415889-24-018474	2467593	Common Stock, $0.01 par value				5195930.0				I	F2	Please see footnote	
0001415889-24-018472	2672492	Common Stock, $0.01 par value				6107661.0				I		See Footnote	F2
0001140361-24-031805	2561457	COMMON STOCK				113750.0				D			
0001225208-24-007036	2374523	Common Stock				43463.0				D			
0000929638-24-002298	2731078	Class A Common Stock				1783610.0				I		See footnote	F4
0001628280-24-030513	2684947	Common Stock				1000.0				I		Family Trust	F3
0001628280-24-030513	2684946	Common Stock				24364.0				I		Family Trust	F2
0001315098-24-000148	2601708	Class A Common Stock				869250.0				I		See Footnotes	F7
0001315098-24-000148	2601707	Class A Common Stock				16554.0	F5			D		See Footnotes	F6
0001315098-24-000148	2601709	Class A Common Stock				869250.0				I		See Footnotes	F8
0001315098-24-000148	2601710	Class A Common Stock				1319500.0				I			
0001856525-24-000090	2532212	Class A Common Stock				143.0				I	F3	By LLC	
0001856525-24-000089	2578895	Class A Common Stock				82.0				I	F3	By LLC	
0001856525-24-000088	2765368	Class A Common Stock				8.0				I	F3	By LLC	
0001856525-24-000086	2684101	Class A Common Stock				32.0				I	F3	By LLC	
0000950142-24-001821	2759987	Common Stock				409945.0				D		By spouse	
0000950142-24-001821	2759992	Common Stock				6725.0				I			
0000950142-24-001821	2759988	Common Stock				89264.0				I		By LLC, see footnote	F3, F4
0000950142-24-001821	2759990	Common Stock				27010384.0				I		By LLC, see footnote	F6, F3
0000950142-24-001821	2759989	Common Stock				26140.0				I		By LLC, see footnote	F3, F5
0000950142-24-001821	2759991	Common Stock				16481.0				I		By LLC, see footnote	F7, F3
0001127602-24-019422	2415016	Common Stock				144845.0	F2			I		Michael Weintraub 2023 Qualified Annuity Trust	
0001127602-24-019422	2415017	Common Stock				6703.0	F3			I		Weintraub Family 2017 Irrevocable Trust	
0001802768-24-000042	2555348	Class A Ordinary Shares				58200.0				I		By Fernandez 2007 Children's Trust	
0001610717-24-000379	2535921	Common Stock				26990.0				I		See footnote	F1
0001225208-24-007029	2354644	Common Stock, $0.50 par value				12925.0				I		By Spouse	
0001225208-24-007029	2354645	Common Stock, $0.50 par value				9900.0				I		Patricia M. Steinour Legacy Trust dated 10/14/2016	
0001225208-24-007029	2354646	Common Stock, $0.50 par value				9900.0				I		Stephen D. Steinour Dynasty Trust dated 6/1/2016	
0000921895-24-001488	2577828	Common Stock, $0.0001 par value	F1			294632.0				D	F4		
0000921895-24-001488	2577826	Common Stock, $0.0001 par value	F1			2656191.0				D	F2		
0000921895-24-001488	2577827	Common Stock, $0.0001 par value	F1			2104075.0				D	F3		
0001225208-24-007022	2761065	Common Stock				29127.0				D			
0001127602-24-019399	2496894	Common Stock				5701.97	F3			I		By 401(k)	
0001127602-24-019399	2496895	Common				57270.0				I		By Wife's Trust for Children	
0001127602-24-019399	2496893	Common				395970.0				I		By Wife's Trust for Children and Reporting Person	
0001127602-24-019399	2496891	Common				178689.0				I		By Trust for Wife	
0001127602-24-019399	2496890	Common				415203.0				I		By Trust for Children	
0001127602-24-019399	2496892	Common				6774.0				I		By Son	
0001476840-24-000119	2334957	Class A Common Stock				218680.0	F1			D			
0000950170-24-079133	2603467	Class A Common Stock				384603.0				I		By Irrevocable Trusts	F1
0001127602-24-019389	2431256	Common				5569.22				I		By 401(k) plan	
0000796343-24-000154	2392106	Common Stock				193.25				D			
0001538716-24-000078	2691850	Common Stock				32000.0				D			
0001127602-24-019382	2470416	Common Stock				43032.0				I		By Family Trust	
0001415889-24-018453	2330230	Class A Common Stock				11353060.0				D			
0001415889-24-018453	2330233	Class A Common Stock				1189.0				I		I	F3
0001415889-24-018453	2330232	Class A Common Stock				213.0				I		I	F2
0001415889-24-018453	2330235	Class A Common Stock				766443.0				I		I	F5
0001415889-24-018453	2330236	Class A Common Stock				2350696.0				I		I	F6
0001415889-24-018453	2330231	Class A Common Stock				11280.0				I		I	F1
0001415889-24-018453	2330234	Class A Common Stock				9966.0				I		I	F4
0001415889-24-018452	2727597	Common Stock				1048406.0				I		See footnotes	F2, F5
0001415889-24-018452	2727596	Common Stock				8117246.0				I		See footnotes	F4, F2
0001127602-24-019380	2710035	Common Stock				59940.0				I		By Family Trusts	
0000950170-24-079107	2756354	Common Stock				1778.0				D			
0000950170-24-079105	2527588	Common Stock				2528.0				D			
0001415889-24-018448	2635760	Common Stock				10417.0				I		By Spouse IRA	
0001415889-24-018448	2635759	Common Stock				76750.0				I		By Trust	F2
0001415889-24-018448	2635758	Common Stok				59250.0				I		By Trust	F1
0001127602-24-019377	2620174	Common Stock				3363.0				I		by The Smith Living Trust	
0001104659-24-076314	2559765	Class B Common Stock				397716.0				I		By Grantor Retained Annuity Trusts	
0001104659-24-076314	2559766	Class B Common Stock				32635.0				I		By 401(K) Plan	
0001415889-24-018443	2403703	Common Stock				3271216.0				I		By Avalon Ventures XI, L.P.	F2
0001415889-24-018443	2403704	Common Stock				633673.0				I		By Avalon BioVentures I, LP	F3
0001415889-24-018443	2403705	Common Stock				3340018.0				I		By Avalon BioVentures SPV I, L.P.	F4
0001415889-24-018436	2731043	Common Stock				45596.0				I		By Trust	F16
0001415889-24-018436	2731042	Common Stock				324518.0				I		By Trust	F15
0001415889-24-018436	2731041	Common Stock				28170.0				I		By Trust	F14
0001415889-24-018436	2731040	Common Stock				2706.0				I		By Trust	F13
0001415889-24-018436	2731039	Common Stock				245909.0				I		By Trust	F12
0001415889-24-018436	2731038	Common Stock				166.0				I		By  Spouse	
0001415889-24-018435	2635705	Common Stock				8200.0				I		Trust	
0001415889-24-018435	2635704	Common Stock				5800.0				I		Family LLC	
0000950170-24-079094	2781453	Common Stock				12500.0				I		By Charis Michelle Richison Trust	F15
0000950170-24-079094	2781452	Common Stock				56.0				I		By Abrie R. Richison 2012 Irrevocable Trust	F14
0000950170-24-079094	2781451	Common Stock				253.0				I		By Ian D. Richison 2012 Irrevocable Trust	F13
0000950170-24-079094	2781450	Common Stock				253.0				I		By Ava L. Richison 2012 Irrevocable Trust	F12
0000950170-24-079094	2781449	Common Stock				1012.0				I		By Charles Banks Pedersen 2022 Irrevocable Trust	F11
0000950170-24-079094	2781448	Common Stock				1012.0				I		By Sage Elizabeth Richison 2022 Irrevocable Trust	F10
0000950170-24-079094	2781447	Common Stock				1012.0				I		By Kase Gabriel Richison 2022 Irrevocable Trust	F9
0000950170-24-079094	2781446	Common Stock				1012.0				I		By Lane West Richison 2022 Irrevocable Trust	F8
0000950170-24-079094	2781445	Common Stock				1012.0				I		By Rome West Pedersen 2023 Irrevocable Trust	F7
0000950170-24-079094	2781444	Common Stock				1012.0				I		By Faye Penelope Richison 2023 Irrevocable Trust	F6
0001415889-24-018428	2485605	Common Stock				34557.0				I		MS Trust II	F2
0001415889-24-018428	2485607	Common Stock				33300.0				I		MS Trust V	F2
0001415889-24-018428	2485606	Common Stock				34557.0				I		MS Trust III	F2
0001415889-24-018428	2485604	Common Stock				35307.47				I		MS Trust I	F2
0000950170-24-079086	2638522	Common Stock				2085307.0				D			
0001415889-24-018419	2680786	Common Stock				15607.0				I		By Trust	F1
0000949157-24-000061	2556306	Common Stock				356164.0	F3			D			
0001271163-24-000033	2577650	Series N Cumulative Preferred Shares				50000.0				I		GAMCO Investors, Inc.	F1
0001271163-24-000033	2577651	Series N Cumulative Preferred Shares				5000.0				I		GPJ Retirement Partners	F2
0001415889-24-018412	2758749	Common Stock				16328.0				I		By Trust	F4
0001415889-24-018412	2758750	Common Stock				121301.0				I		By Trust	F5
0001415889-24-018412	2758751	Common Stock				20000.0				I		By Trust	F6
0001415889-24-018412	2758746	Common Stok				86775.0				I		By Trust	F1
0001415889-24-018412	2758747	Common Stock				10725.0				I		By Trust	F2
0001415889-24-018412	2758748	Common Stock				8532.0				I		By Trust	F3
0001127602-24-019368	2710161	Common Stock				2946.0				I		By Wife	
0001045810-24-000181	2577591	Common Stock				29684280.0				I		The Jen-Hsun Huang 2016 Annuity Trust II Agreement	
0001045810-24-000181	2577590	Common Stock				29684280.0				I		The Lori Lynn Huang 2016 Annuity Trust II Agreement	
0001045810-24-000181	2577589	Common Stock				50078000.0				I		By Irrevocable Remainder Trust	F16
0001045810-24-000181	2577588	Common Stock				22280000.0				I		By Irrevocable Trust	F15
0001045810-24-000181	2577587	Common Stock				49489560.0				I		By Partnership	F14
0001045810-24-000181	2577586	Common Stock				604387280.0				I		By Trust	F13
0001127602-24-019362	2527536	Common Stock				403.0	F1			I		Retirement Plan	
0001111928-24-000113	2619602	Common Stock				20982.0				I		By Trust May 2017	
0001111928-24-000113	2619601	Common Stock				20983.0				I		By Trust-I 2016	
0001111928-24-000113	2619600	Common Stock				158700.0				I		By Trust-G4 2016	
0001111928-24-000113	2619599	Common Stock				1200.0				I		By Trust Sept. 2015	
0001111928-24-000113	2619598	Common Stock				10000.0				I		By Trust 2015	
0001111928-24-000113	2619597	Common Stock				270926.0				D	F2	By Wife's Mother	
0001111928-24-000113	2619604	Common Stock				90380.0				I		By Grantor Retained Annuity Trust November 2022	
0001111928-24-000113	2619603	Common Stock				191677.0				I		By Grantor Retained Annuity Trust II September 2021	
0001111928-24-000113	2619605	Common Stock				70908.0				I			
0001914496-24-000088	2342359	Class E Common Stock	F2			18268.39	F3			I		By Kristin Jackson Living Trust	
0001477932-24-003949	2592324	Common Stock				38892.0				D		See footnote	F1
0001477932-24-003949	2592325	Common Stock				9219860.0				I			
0000950170-24-079065	2577748	Common Stock				103000.0				I		By John M. Evans, III 2018 Irrevocable Trust	
0000950170-24-079064	2795279	Common Stock				2188.0				D			
0001062993-24-013134	2691362	Common Stock				453.26				I		Custodian Account for Son	
0001062993-24-013134	2691363	Common Stock				453.26				I		Custodian Account for Daughter	
0001062993-24-013134	2691364	Common Stock				434.52				I		401(k) plan	
0001062993-24-013134	2691365	Common Stock				48.12				I		401(k) excess plan	
0001062993-24-013134	2691366	Common Stock				208.47				I		Profit Sharing Plan	
0001062993-24-013134	2691367	Common Stock				2024.18				I		401(k) excess plan II	
0001127602-24-019360	2558049	Common Stock				273852.0				I			
0001127602-24-019360	2558048	Common Stock				114744.0				D		By Harrison Family Legacy Trust	F1
0000950170-24-079036	2575283	Series A-1 Non-Voting Non-Convertible Preferred Stock				59.0				I		See Footnotes	F1, F2
0001628280-24-030489	2641133	Common Stock				96645.0				D			
0001628280-24-030486	2667143	Common Stock				6571.0				D			
0000950170-24-079032	2517185	Common Stock				803459.0				I		See Footnotes	F4, F2, F3
0000950170-24-079032	2517184	Common Stock				87876.0				I		See Footnotes	F1, F2, F3
0001628280-24-030485	2394611	Common Stock				220976.0				D			
0001127602-24-019356	2419737	Common Stock				31139.0				I		Spouse	
0001271163-24-000032	2677185	Series B Cumulative Preferred Shares				125000.0				I		Associated Capital Group, Inc.	F3
0001437749-24-021557	2475810	Common Stock				100.0				I		Child	
0000080420-24-000049	2483978	Common Stock				1.0				D			
0001127602-24-019354	2715928	Common Stock,  $0.01 par value per share				0.0				D			
0001517737-24-000079	2306368	Common Stock				186551.0				I		by Separate Prop Tr	
0001517737-24-000079	2306367	Common Stock				14500.0				I		by Partnership	
0001517737-24-000079	2306366	Common Stock				122226.0				I		by Family Trust	
0000950170-24-078874	2636949	Class B Common Stock, $.01 par value per share				98820.0				I		By I9 Plus, LLC	F3
0000950170-24-078874	2636950	Class B Common Stock, $.01 par value per share				3225806.0				I		By Rafael A Partners, L.P.	F4
0000950170-24-078874	2636951	Class A Common Stock, $.01 par value per share				787163.0				I			
0000950170-24-078874	2636948	Class B Common Stock, $.01 par value per share				159016.0	F2			D		By The Jonas Foundation	
0000950170-24-078865	2583748	Common Shares				1630.0	F4			I		By IRA (Vanguard)	
0000950170-24-078865	2583747	Common Shares				2000.0				I		By IRA (Merrill-Lynch)	
0000950170-24-078855	2616422	Common Shares				432.88	F2			I		By 401(k)	
0000076282-24-000106	2677373	Common Stock				1100000.0				I		By Limited Liability Company	F2
0000076282-24-000106	2677372	Common Stock				41401.0				I		By First Francis Company, Inc.	F1
0000076282-24-000106	2677369	Common Stock				300000.0				I		By Park Trust	
0000076282-24-000106	2677370	Common Stock				546000.0				I		By Trust	
0000076282-24-000106	2677371	Common Stock				11700.0				I		By Crawford Capital Company	F1
0001085146-24-002756	2817887	Class A Common Stock				31678.0				I		AQR Apex MS Master Account, L.P.	F1, F2
0001085146-24-002756	2817888	Class A Common Stock				27929.0				I		AQR SPAC Opportunities Offshore Fund, L.P.	F1, F2
0001085146-24-002756	2817889	Class A Common Stock				24733.0				I		AQR Tax Advantaged Absolute Return Fund, L.P.	F1, F2
0001085146-24-002756	2817890	Class A Common Stock				14557.0				I		AQR UCITS Funds - AQR Corporate Arbitrage UCITS Fund	F1
0001085146-24-002756	2817891	Class A Common Stock				7501.0				I		AQR Corporate Arbitrage Master Account, L.P.	F1, F2
0001085146-24-002756	2817892	Class A Common Stock				7248.0				I		AQR Absolute Return Master Account, L.P.	F1, F2
0001085146-24-002756	2817886	Class A Common Stock				111000.0				I		AQR Diversified Arbitrage Fund	F1
0001085146-24-002756	2817894	Class A Common Stock				72.0				I		AQR Arbitrage MA Offshore Fund, L.P.	F1, F2
0001085146-24-002756	2817893	Class A Common Stock				4323.0				I		AQR Tax Aware Legacy Fund, LLC	F1, F2
0001085146-24-002756	2817885	Class A Common Stock				235915.0				I		AQR Global Alternative Investment Offshore Fund, L.P.	F1, F2
0002028804-24-000002	2572011	Common Stock, par value $1 per share				12055.0	F1			D			
0000739421-24-000066	2380638	COMMON CLASS				22.0				I		BY SPOUSE	
0001680873-24-000045	2613075	Common Stock				3134091.0				D			
0001415889-24-018390	2801196	Common Stock				1600.0				I		Spouse IRA	
0001415889-24-018390	2801195	Common Stock				731.29				I		JEPST Plan	
0001415889-24-018390	2801194	Common Stock				1303.35				I		401(k) Plan	
0001927571-24-000008	2356115	Common Stock				70266.13	F1			I		By 401KSOP	
0001927571-24-000008	2356114	Common Stock				64.0				I		By Daughter	
0001437749-24-021489	2378539	Class A Common Stock				34130.0				D			
0001127602-24-019346	2668308	Class A Common Stock				187475.0				I		By The Dana Christ Irrevocable Trust Dated May 8, 2015	F4
0001127602-24-019346	2668309	Class A Common Stock				187475.0				I		By The Lauren Christ Irrevocable Trust Dated May 8, 2015	F4
0001127602-24-019346	2668310	Class A Common Stock				400000.0				I		By GC Investments LLC	F5
0000950170-24-078772	2384196	Common Stock				6266.0				D			
0001493152-24-025520	2384989	Common Stock				113.0				I		By Reliance Global Holdings, LLC	F3
0001493152-24-025520	2384990	Common Stock				263021.0				I		By YES Americana Group, LLC	F4
0001727689-24-000080	2705886	Common Shares				2380952.0				I		By 1327094 BC Unlimited Liability Company	
0001104659-24-075850	2657148	Common Stock, $0.001 par value				1191307.0				I		See footnotes	F1, F2, F3
0001104659-24-075850	2657149	7.875% Series D Preferred Stock				1020135.0				I		See footnotes	F1, F2, F3
0000950170-24-078757	2469109	Class B shares				57901603.0	F4, F3, F6, F5, F1, F2			I		See Footnotes	F4, F3
0000950170-24-078756	2707897	Common Stock				18000.0				I		See Footnote	F4
0000950170-24-078756	2707896	Common Stock				1261.0				I		See Footnote	F3
0000950170-24-078756	2707895	Common Stock				11210.0				I		See Footnote	F2
0000950170-24-078748	2726537	Common Stock				655540.0				I		By SQN LLC	F2
0000950170-24-078744	2576547	Class B shares				57901603.0	F3, F2, F1			I		See Footnotes	F2, F1
0001104659-24-075844	2548217	Common Stock				1176470.0				I		See Footnote	F1
0001104659-24-075843	2342261	Common Stock				1176470.0				I		See Footnote	F1
0001104659-24-075842	2386774	Common Stock				1176470.0				I		See Footnote	F1
0001104659-24-075841	2700362	5.25% Series E Term Preferred Stock due 2026				33103.0				I		See footnotes	F3, F1, F2
0001415889-24-018388	2363880	Class A Common Stock				44037.0				I		By Pension Trust	F20
0001415889-24-018388	2363881	Class A Common Stock				9805.0				I		By IGSB Cardinal Core BV, LLC	F21
0001415889-24-018388	2363879	Class A Common Stock				142857.0				I		By IGSB Gaucho Fund I, LLC	F19
0001415889-24-018388	2363878	Class A Common Stock				59383.0				D			
0001493152-24-025498	2711575	Common Stock				1240.0				I		By Adult Child 1	F1
0001493152-24-025498	2711576	Common Stock				1240.0				I		By Adult Child 2	F2
0001493152-24-025498	2711574	Common Stock				9900.0				I		By Spouse	
0001104659-24-075824	2302729	Class A Common Stock				779522.0				D		Held by the Paul Liberman 2020 Irrevocable Trust	
0001104659-24-075824	2302730	Class A Common Stock				213597.0				I		Held by the Rachel Nager Liberman Irrevocable Trust - 2022	
0001104659-24-075824	2302731	Class A Common Stock				200000.0				I			
0001415889-24-018381	2524387	Common Stock				61676.0				D			
0001415889-24-018380	2672567	Common Stock				3877334.0				D			
0001415889-24-018380	2672571	Common Stock				744829.0				I		By Lola Sofia Renda Trust	F2, F5
0001415889-24-018380	2672570	Common Stock				744829.0				I		By Angelo Joseph Renda Trust	F2, F4
0001415889-24-018380	2672569	Common Stock				69446.0				I		By Christy Lee Renda 2015 Irrevocable Trust	F2, F3
0001415889-24-018380	2672568	Common Stock				1560155.0				I		By Rudolph V. Renda, Jr., 2015 Irrevocable Trust	F2, F1
0001415889-24-018379	2814460	Common Stock				1687205.0				D			
0001415889-24-018379	2814461	Common Stock				1675863.0				I		By Walter Timothy Winn 2015 Irrevocable Trust	F2, F1
0001415889-24-018378	2310703	Common Stock				11571521.0				D			
0001415889-24-018378	2310698	Common Stock				6140497.0				I		By Frank Renda 2015 Irrevocable Trust	F2, F1
0001415889-24-018378	2310699	Common Stock				2211394.0				I		By Madison Nicole Renda Trust	F2, F3
0001415889-24-018378	2310701	Common Stock				2211394.0				I		By Santino Leonidas Renda Trust	F2, F5
0001415889-24-018378	2310702	Common Stock				69270.0				I		By Amanda Delee Renda	F2, F6
0001415889-24-018378	2310700	Common Stock				2211394.0				I		By Dominic Vincent Renda Trust	F2, F4
0001415889-24-018377	2475015	Common Stock				1.0				I		By son	
0001214659-24-011566	2353692	Common Stock				12438431.0	F6			I			
0001214659-24-011566	2353691	Common Stock				1500568.0				I		Spouse	F7
0001214659-24-011566	2353690	Common Stock				3703878.0	F4			D		GRATs	F5
0000950170-24-078713	2721115	Common shares of beneficial interest, par value $0.001				80000.0				I		By Diameter Principal Finance LLC	F1
0000950170-24-078703	2567300	Class C Capital Stock				120000.0				I		RMP 2021 Irrevocable Trust	
0001127602-24-019342	2671353	Common Stock				10188.0				I		By Spouse	
0001127602-24-019342	2671352	Common Stock				812.0				I		By Child	
0000807249-24-000070	2776149	Series A Common Stock				3800.0				I		By: Limited Partnership V	F5
0000807249-24-000070	2776151	Series A Common Stock				2500.0				I			
0000807249-24-000070	2776145	Series A Common Stock				7550.0				D	F3	By: Limited Partnership I	F5
0000807249-24-000070	2776146	Series A Common Stock				42000.0				D	F4	By: Limited Partnership II	F5
0000807249-24-000070	2776147	Series A Common Stock				15000.0				I		By: Limited Partnership III	F5
0000807249-24-000070	2776148	Series A Common Stock				12500.0				I		By: Limited Partnership IV	F5
0000807249-24-000070	2776150	Series A Common Stock				20000.0				I			
0000950170-24-078692	2623794	Class B Common Stock				8000000.0				I			
0000950170-24-078692	2623793	Class B Common Stock				11952000.0				I		ECG II SPE, LLC	F9
0000950170-24-078692	2623792	Class B Common Stock				11834021.0				I		Ernest C. Garcia III Multi-Generational Trust III	F8
0000950170-24-078692	2623790	Class A Common Stock				950000.0				I		Ernest C. Garcia III Multi-Generational Trust III	F6
0000950170-24-078692	2623789	Class A Common Stock				850000.0				I		Ernest Irrevocable 2004 Trust III	F5
0000950170-24-078692	2623788	Class A Common Stock				2578314.0				I		Verde Investments, Inc.	F4
0000950170-24-078692	2623791	Class B Common Stock				41442317.0				D		Ernest Irrevocable 2004 Trust III	F7
0000899140-24-000680	2717572	Common Stock				137527.0				I		See footnote	F5
0000899140-24-000680	2717573	Common Stock				117603.0				D			
0000950170-24-078679	2554907	Class A Common Stock				42357276.0	F3, F2			I		By Funds	F7, F6
0000950170-24-078679	2554906	Class A Common Stock				102183.0				I		By LLC	F5
0000950170-24-078679	2554905	Class A Common Stock				1263754.0				I		By Trust	F4
0001783879-24-000200	2615080	Class A Common Stock				117683.0				I		By Trust	
0001415889-24-018369	2698913	Class A Common Stock				174152.0				I		By GGV Capital V L.L.C	F2
0001415889-24-018369	2698914	Class A Common Stock				375289.0				I		By Family Trust	F3
0001415889-24-018369	2698915	Class A Common Stock				32629.0				I		By Family Trust	F3
0001415889-24-018369	2698916	Class A Common Stock				476666.0				I		By GGV Capital Select L.P.	F4
0001415889-24-018369	2698917	Class A Common Stock				8172.0				I		By GGV Capital LLC	F5
0001628280-24-030382	2560359	Class B Common Stock				138193.0				D			
0001628280-24-030382	2560358	Class A Common Stock				101272.0				D			
0001628280-24-030380	2562986	Class A common stock				651153.0				D			
0001437749-24-021449	2763023	Common Stock				2387.0				I			
0001437749-24-021449	2763017	Common Stock				67558.81				I		As custodian of UTMA account for child 1	F5
0001437749-24-021449	2763018	Common Stock				2387.0				I		As custodian of UTMA account for child 2	F5
0001437749-24-021449	2763019	Common Stock				2387.0				I		As custodian of UTMA account for child 3	F5
0001437749-24-021449	2763020	Common Stock				2387.0				I		As custodian of UTMA account for child 4	F5
0001437749-24-021449	2763021	Common Stock				2387.0				I		As custodian of UTMA account for child 5	F5
0001437749-24-021449	2763022	Common Stock				2387.0				I		As custodian of UTMA account for child 6	F5
0001437749-24-021449	2763015	Common Stock				4281440.89				D		See Footnote	F4
0001437749-24-021449	2763014	Common Stock				1904136.0				I		See Footnote	F3
0001437749-24-021449	2763013	Common Stock				818583.55				I		See Footnote	F2
0001437749-24-021449	2763016	Common Stock				536032.0				I		By employee benefit plan	
0001127602-24-019340	2526637	Common Stock				40.0				I		through UTMA	
